# Cutout sizes based on A_AREA from the Rafelski et al. (2015) HUDF catalog
#
# id xsize ysize 
807 4.5 4.5  
808 4.5 4.5  
809 4.5 4.5  
811 4.5 4.5  
812 4.5 4.5  
813 4.5 4.5  
814 4.5 4.5  
815 4.5 4.5  
816 4.5 4.5  
818 4.5 4.5  
820 4.5 4.5  
821 4.5 4.5  
822 4.5 4.5  
823 4.5 4.5  
824 4.5 4.5  
825 4.5 4.5  
826 4.5 4.5  
827 4.5 4.5  
828 4.5 4.5  
829 4.5 4.5  
830 5.8104820949 5.8104820949  
831 4.5 4.5  
832 4.5 4.5  
833 4.5 4.5  
834 4.5 4.5  
835 4.5 4.5  
836 4.5 4.5  
839 4.5 4.5  
840 4.5 4.5  
841 4.5 4.5  
842 4.5 4.5  
843 4.5 4.5  
845 4.5 4.5  
847 4.5 4.5  
848 4.5 4.5  
849 4.5 4.5  
850 4.5 4.5  
851 4.5 4.5  
852 4.5 4.5  
853 4.5 4.5  
854 4.5 4.5  
855 4.5 4.5  
856 4.5 4.5  
857 4.5 4.5  
858 4.5 4.5  
859 4.5 4.5  
860 4.5 4.5  
861 4.5 4.5  
862 4.5 4.5  
863 4.5 4.5  
864 4.5 4.5  
865 6.46572288164 6.46572288164  
866 4.5 4.5  
868 4.5 4.5  
869 4.5 4.5  
870 4.5 4.5  
871 4.5 4.5  
872 4.5 4.5  
873 4.5 4.5  
874 4.5 4.5  
875 4.5 4.5  
876 4.5 4.5  
877 4.5 4.5  
878 4.5 4.5  
879 4.5 4.5  
880 4.5 4.5  
881 4.5 4.5  
882 4.5 4.5  
883 4.5 4.5  
884 4.5 4.5  
885 4.5 4.5  
886 4.5 4.5  
887 4.5 4.5  
888 4.5 4.5  
889 4.5 4.5  
890 4.5 4.5  
891 4.5 4.5  
892 4.5 4.5  
893 4.5 4.5  
894 4.5 4.5  
895 4.5 4.5  
896 4.5 4.5  
897 4.5 4.5  
898 4.5 4.5  
899 4.5 4.5  
900 4.5 4.5  
901 4.5 4.5  
903 4.5 4.5  
904 4.5 4.5  
905 4.5 4.5  
906 4.5 4.5  
907 4.5 4.5  
909 4.5 4.5  
910 4.5 4.5  
911 4.5 4.5  
912 4.5 4.5  
913 4.5 4.5  
914 4.5 4.5  
916 4.5 4.5  
917 4.5 4.5  
918 4.5 4.5  
919 4.5 4.5  
921 4.5 4.5  
922 4.5 4.5  
923 4.5 4.5  
924 4.5 4.5  
925 4.5 4.5  
926 4.5 4.5  
927 4.5 4.5  
928 4.5 4.5  
929 7.66882706414 7.66882706414  
930 4.5 4.5  
931 4.5 4.5  
933 4.5 4.5  
934 4.5 4.5  
935 4.5 4.5  
936 4.5 4.5  
937 4.5 4.5  
939 4.5 4.5  
940 4.5 4.5  
942 4.5 4.5  
943 4.5 4.5  
944 4.5 4.5  
945 4.5 4.5  
946 4.5 4.5  
947 4.5 4.5  
948 4.5 4.5  
950 4.5 4.5  
951 4.5 4.5  
952 4.5 4.5  
953 4.5 4.5  
954 4.5 4.5  
955 4.5 4.5  
956 4.5 4.5  
957 4.5 4.5  
958 4.5 4.5  
959 4.5 4.5  
961 4.5 4.5  
962 4.5 4.5  
963 4.5 4.5  
964 4.5 4.5  
965 4.5 4.5  
967 4.5 4.5  
968 4.5 4.5  
969 4.5 4.5  
971 4.5 4.5  
972 4.5 4.5  
973 4.5 4.5  
975 4.5 4.5  
976 4.5 4.5  
977 4.5 4.5  
978 4.5 4.5  
979 4.5 4.5  
980 4.5 4.5  
981 4.5 4.5  
983 5.60054322543 5.60054322543  
984 4.5 4.5  
985 4.5 4.5  
987 4.5 4.5  
989 4.5 4.5  
991 4.5 4.5  
992 4.5 4.5  
993 4.5 4.5  
994 4.5 4.5  
995 4.5 4.5  
996 4.5 4.5  
998 4.5 4.5  
999 4.5 4.5  
1000 4.5 4.5  
1002 4.5 4.5  
1003 4.5 4.5  
1004 4.5 4.5  
1006 4.5 4.5  
1007 4.5 4.5  
1008 4.5 4.5  
1010 4.5 4.5  
1012 4.5 4.5  
1013 4.5 4.5  
1014 4.5 4.5  
1015 4.5 4.5  
1016 4.5 4.5  
1017 4.5 4.5  
1018 4.5 4.5  
1019 4.5 4.5  
1021 4.5 4.5  
1022 4.5 4.5  
1023 4.5 4.5  
1024 4.5 4.5  
1025 4.5 4.5  
1026 4.5 4.5  
1027 4.5 4.5  
1028 4.5 4.5  
1029 4.5 4.5  
1030 4.5 4.5  
1031 4.5 4.5  
1032 4.5 4.5  
1033 4.5 4.5  
1034 4.5 4.5  
1035 4.5 4.5  
1036 4.5 4.5  
1037 4.5 4.5  
1038 4.5 4.5  
1039 4.5 4.5  
1040 4.5 4.5  
1042 4.5 4.5  
1043 4.5 4.5  
1044 4.5 4.5  
1045 4.5 4.5  
1046 4.5 4.5  
1047 4.5 4.5  
1048 4.5 4.5  
1050 4.5 4.5  
1051 4.5 4.5  
1052 4.5 4.5  
1053 4.5 4.5  
1054 4.5 4.5  
1055 4.5 4.5  
1056 4.5 4.5  
1057 4.5 4.5  
1059 4.5 4.5  
1060 4.5 4.5  
1061 4.5 4.5  
1062 4.5 4.5  
1063 4.5 4.5  
1064 4.5 4.5  
1065 4.5 4.5  
1066 4.5 4.5  
1067 4.5 4.5  
1068 4.5 4.5  
1069 4.5 4.5  
1070 4.5 4.5  
1072 4.5 4.5  
1073 4.5 4.5  
1074 4.5 4.5  
1075 4.5 4.5  
1076 4.5 4.5  
1077 4.5 4.5  
1080 4.5 4.5  
1082 4.5 4.5  
1084 4.5 4.5  
1085 4.5 4.5  
1086 4.5 4.5  
1088 4.5 4.5  
1089 4.5 4.5  
1090 4.5 4.5  
1091 4.5 4.5  
1094 4.5 4.5  
1096 4.5 4.5  
1097 4.5 4.5  
1099 4.5 4.5  
1101 4.5 4.5  
1102 4.5 4.5  
1103 4.5 4.5  
1105 4.5 4.5  
1107 4.5 4.5  
1108 4.5 4.5  
1109 4.5 4.5  
1110 4.5 4.5  
1112 4.5 4.5  
1114 4.5 4.5  
1115 4.5 4.5  
1116 4.5 4.5  
1117 4.5 4.5  
1119 4.5 4.5  
1120 4.5 4.5  
1121 4.5 4.5  
1122 4.5 4.5  
1124 4.5 4.5  
1125 4.5 4.5  
1126 4.5 4.5  
1128 4.5 4.5  
1129 4.5 4.5  
1130 4.5 4.5  
1132 4.5 4.5  
1133 4.5 4.5  
1134 4.5 4.5  
1135 4.5 4.5  
1138 4.5 4.5  
1139 4.5 4.5  
1140 4.5 4.5  
1141 4.5 4.5  
1142 4.5 4.5  
1143 4.5 4.5  
1144 4.5 4.5  
1146 4.5 4.5  
1147 4.5 4.5  
1148 4.5 4.5  
1150 4.5 4.5  
1153 4.5 4.5  
1154 4.5 4.5  
1155 4.5 4.5  
1156 4.5 4.5  
1158 4.5 4.5  
1159 4.5 4.5  
1160 4.5 4.5  
1161 4.5 4.5  
1162 4.5 4.5  
1163 4.5 4.5  
1164 4.5 4.5  
1165 4.5 4.5  
1166 4.5 4.5  
1167 4.5 4.5  
1168 4.5 4.5  
1169 4.5 4.5  
1171 4.5 4.5  
1173 4.5 4.5  
1174 4.5 4.5  
1175 4.5 4.5  
1176 4.5 4.5  
1177 4.5 4.5  
1178 4.5 4.5  
1179 4.5 4.5  
1180 4.5 4.5  
1181 4.5 4.5  
1183 4.5 4.5  
1184 4.5 4.5  
1185 4.5 4.5  
1186 4.5 4.5  
1188 4.5 4.5  
1190 4.5 4.5  
1191 4.5 4.5  
1192 4.5 4.5  
1193 4.5 4.5  
1194 4.5 4.5  
1195 4.5 4.5  
1196 4.5 4.5  
1197 4.5 4.5  
1198 4.5 4.5  
1201 4.5 4.5  
1202 4.5 4.5  
1203 4.5 4.5  
1204 4.5 4.5  
1205 4.5 4.5  
1206 4.5 4.5  
1207 4.5 4.5  
1208 4.5 4.5  
1210 4.5 4.5  
1212 4.5 4.5  
1213 4.5 4.5  
1214 4.5 4.5  
1215 4.5 4.5  
1217 4.5 4.5  
1219 4.5 4.5  
1220 4.5 4.5  
1221 4.5 4.5  
1222 4.5 4.5  
1223 4.5 4.5  
1224 4.5 4.5  
1225 4.5 4.5  
1226 4.5 4.5  
1227 4.5 4.5  
1228 4.5 4.5  
1229 4.5 4.5  
1230 4.5 4.5  
1231 4.5 4.5  
1232 4.5 4.5  
1234 4.5 4.5  
1235 4.5 4.5  
1236 4.5 4.5  
1238 4.5 4.5  
1240 4.5 4.5  
1242 4.5 4.5  
1243 4.5 4.5  
1244 4.5 4.5  
